Stop Number,Date,Day of Week,City,State,Venue Name,Venue Size,Average Ticket Price,Concert Attendance,Avg. Hospitality Price Pre-Swift,Avg. Hospitality Price Post-Swift,Average Leisure & Hospitality Gains (in thousands),Average Inflation noted in CPI(%),Food Away From Home Percent Increase(%)
1,"March 17, 2023",Friday,Glendale,Arizona,State Farm Stadium,"78,600",250,"69,000",142,639,2.8,1.5278,0.563925
2,"March 18, 2023",Saturday,Glendale,Arizona,State Farm Stadium,"78,600",250,77000,142,639,2.8,1.5278,0.563925
3,"March 24, 2023",Friday,Paradise,Nevada,Allegiant Stadium,"71,835",200,40000,83,182,4.1,0.6,0.563925
4,"March 25, 2023",Saturday,Paradise,Nevada,Allegiant Stadium,"71,835",200,40000,83,182,4.1,0.6,0.563925
5,"March 31, 2023",Friday,Arlington,Texas,AT&T Stadium,"100,000",300,70202,126,300,3.2,0.797228,6
6,"April 1, 2023",Saturday,Arlington,Texas,AT&T Stadium,"100,000",300,70202,126,300,3.2,0.797228,6
7,"April 2, 2023",Sunday,Arlington,Texas,AT&T Stadium,"100,000",300,70202,126,300,3.2,0.797228,6
8,"April 13, 2023",Thursday,Tampa,Florida,Raymond James Stadium,"75,000",315,68819,300,1000,2.7,1.71685,-2.1
9,"April 14, 2023",Friday,Tampa,Florida,Raymond James Stadium,"75,000",315,68819,300,1000,2.7,1.71685,-2.1
10,"April 15, 2023",Satuday,Tampa,Florida,Raymond James Stadium,"75,000",315,68819,300,1000,2.7,1.71685,-2.1
11,"April 21, 2023",Friday,Houston,Texas,NRG Stadium,"80,000",288,62690,86,143,2,1.31481,5.4
12,"April 22, 2023",Saturday,Houston,Texas,NRG Stadium,"80,000",288,62690,86,143,2,1.31481,5.4
13,"April 23, 2023",Sunday,Houston,Texas,NRG Stadium,"80,000",288,62690,86,143,2,1.31481,5.4
14,"April 28, 2023",Friday,Atlanta,Georgia,Mercedez-Benz Stadium,"71,000",289,65369,135,202,2.1,0.510476,4
15,"April 29, 2023",Saturday,Atlanta,Georgia,Mercedez-Benz Stadium,"71,000",289,65369,135,202,2.1,0.510476,4
16,"April 30, 2023",Sunday,Atlanta,Georgia,Mercedez-Benz Stadium,"71,000",289,65369,135,202,2.1,0.510476,4
17,"May 5, 2023",Friday,Nashville,Tennessee,Nissan Stadium,"69,143",300,70667,126,225,2.2,,0.1
18,"May 6, 2023",Saturday,Nashville,Tennessee,Nissan Stadium,"69,143",300,70667,126,225,2.2,,0.1
